Unnamed: 0,Flow ID, Source IP, Source Port, Destination IP, Destination Port, Protocol, Timestamp, Flow Duration, Total Fwd Packets, Total Backward Packets,Total Length of Fwd Packets, Total Length of Bwd Packets, Fwd Packet Length Max, Fwd Packet Length Min, Fwd Packet Length Mean, Fwd Packet Length Std,Bwd Packet Length Max, Bwd Packet Length Min, Bwd Packet Length Mean, Bwd Packet Length Std,Flow Bytes/s, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Flow IAT Max, Flow IAT Min,Fwd IAT Total, Fwd IAT Mean, Fwd IAT Std, Fwd IAT Max, Fwd IAT Min,Bwd IAT Total, Bwd IAT Mean, Bwd IAT Std, Bwd IAT Max, Bwd IAT Min,Fwd PSH Flags, Bwd PSH Flags, Fwd URG Flags, Bwd URG Flags, Fwd Header Length, Bwd Header Length,Fwd Packets/s, Bwd Packets/s, Min Packet Length, Max Packet Length, Packet Length Mean, Packet Length Std, Packet Length Variance,FIN Flag Count, SYN Flag Count, RST Flag Count, PSH Flag Count, ACK Flag Count, URG Flag Count, CWE Flag Count, ECE Flag Count, Down/Up Ratio, Average Packet Size, Avg Fwd Segment Size, Avg Bwd Segment Size, Fwd Header Length.1,Fwd Avg Bytes/Bulk, Fwd Avg Packets/Bulk, Fwd Avg Bulk Rate, Bwd Avg Bytes/Bulk, Bwd Avg Packets/Bulk,Bwd Avg Bulk Rate,Subflow Fwd Packets, Subflow Fwd Bytes, Subflow Bwd Packets, Subflow Bwd Bytes,Init_Win_bytes_forward, Init_Win_bytes_backward, act_data_pkt_fwd, min_seg_size_forward,Active Mean, Active Std, Active Max, Active Min,Idle Mean, Idle Std, Idle Max, Idle Min,SimillarHTTP, Inbound
39107,172.16.0.5-192.168.50.1-62806-61197-6,172.16.0.5,62806,192.168.50.1,61197,6,30:31.1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1
86699,172.16.0.5-192.168.50.1-39947-61197-6,172.16.0.5,39947,192.168.50.1,61197,6,30:31.1,100,2,2,0,0,0,0,0,0,0,0,0,0,0,40000,33.33333333,56.00297611,98,1,1,1,0,1,1,1,1,0,1,1,0,0,0,0,40,40,20000,20000,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,40,0,0,0,0,0,0,2,0,2,0,5840,0,0,20,0,0,0,0,0,0,0,0,0,1
752757,172.16.0.5-192.168.50.1-62807-12511-6,172.16.0.5,62807,192.168.50.1,12511,6,30:31.1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1
597911,172.16.0.5-192.168.50.1-62808-55692-6,172.16.0.5,62808,192.168.50.1,55692,6,30:31.1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,40,0,2000000,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40,0,0,0,0,0,0,2,0,0,0,5840,-1,0,20,0,0,0,0,0,0,0,0,0,1
258751,172.16.0.5-192.168.50.1-34129-55713-17,172.16.0.5,34129,192.168.50.1,55713,17,47:08.5,1,2,0,1022,0,511,511,511,0,0,0,0,0,1.02E+09,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,511,511,511,0,0,0,0,0,0,0,0,0,0,0,766.5,511,0,-2,0,0,0,0,0,0,2,1022,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1
77503,172.16.0.5-192.168.50.1-34130-35289-17,172.16.0.5,34130,192.168.50.1,35289,17,47:08.5,1,2,0,944,0,472,472,472,0,0,0,0,0,9.44E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,472,472,472,0,0,0,0,0,0,0,0,0,0,0,708,472,0,-2,0,0,0,0,0,0,2,944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1
95068,172.16.0.5-192.168.50.1-34131-60055-17,172.16.0.5,34131,192.168.50.1,60055,17,47:08.5,1,2,0,888,0,444,444,444,0,0,0,0,0,8.88E+08,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,444,444,444,0,0,0,0,0,0,0,0,0,0,0,666,444,0,-2,0,0,0,0,0,0,2,888,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1
9730,172.16.0.5-192.168.50.1-900-53700-17,172.16.0.5,900,192.168.50.1,53700,17,32:32.9,1,2,0,2896,0,1448,1448,1448,0,0,0,0,0,2.90E+09,2000000,1,0,1,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,-2,0,2000000,0,1448,1448,1448,0,0,0,0,0,0,0,0,0,0,0,2172,1448,0,-2,0,0,0,0,0,0,2,2896,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1
30921,172.16.0.5-192.168.50.1-900-61368-17,172.16.0.5,900,192.168.50.1,61368,17,32:32.9,2,2,0,2944,0,1472,1472,1472,0,0,0,0,0,1.47E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,-2,0,1000000,0,1472,1472,1472,0,0,0,0,0,0,0,0,0,0,0,2208,1472,0,-2,0,0,0,0,0,0,2,2944,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1
42884,172.16.0.5-192.168.50.1-900-6146-17,172.16.0.5,900,192.168.50.1,6146,17,32:32.9,2,2,0,2896,0,1448,1448,1448,0,0,0,0,0,1.45E+09,1000000,2,0,2,2,2,2,0,2,2,0,0,0,0,0,0,0,0,0,-2,0,1000000,0,1448,1448,1448,0,0,0,0,0,0,0,0,0,0,0,2172,1448,0,-2,0,0,0,0,0,0,2,2896,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,1
